Gu,ID,Station,Address,Latitude,Longitude,Date,No_of_Racks
서초구,2279,2279. 교대역 5번출구뒤,서울특별시 서초구 서초중앙로 130,37.493618,127.014183,2017-11-28 11:40,10
서초구,2280,서울서초고용센터 앞,서울특별시 서초구 반포대로 43,37.484161,127.010971,2018.9.20개통,10
서초구,2281,2281. 연세사랑병원신관앞,서울특별시 서초구 효령로 10,37.475979,126.986282,2017-11-28 11:43,7
서초구,2282,2282. 방배래미안아트힐 101동앞,서울특별시 서초구 남부순환로 2311-12,37.477203,127.005836,2017-11-28 11:44,15
서초구,2283,2283. 그룹한빌딩옆,서울특별시 서초구 서초대로 62,37.486526,126.989166,2017-11-28 11:45,10
서초구,2284,2284. CJ오쇼핑앞,서울특별시 서초구 과천대로 870-13,37.468102,126.986801,2017-11-28 11:45,10
서초구,2285,2285. LH서초3단지 301동 맞은편,서울특별시 서초구 양재대로2길 33,37.457424,127.022652,2017-11-28 11:46,15
서초구,2286,2286. 탑성마을입구,서울특별시 서초구 탑성말길 2,37.458549,127.055885,2017-11-28 11:47,10
서초구,2287,2287. 능안마을입구,서울특별시 서초구 능안말길 1-2,37.45562,127.067101,2017-11-28 11:48,10
서초구,2288,2288. 안골마을입구,서울특별시 서초구 안골2길 3,37.455608,127.064453,2017-11-28 11:48,10
서초구,2289,2289. 남태령역 2번출구,서울특별시 서초구 과천대로 810,37.464298,126.988525,2017-11-28 11:49,10
서초구,2290,2290. 서래마을파리15구공원앞,서울특별시 서초구 동광로39길 93,37.499413,126.999413,2017-11-28 11:50,10
서초구,2292,2292. 무지개아파트 앞,서울특별시 서초구 효령로 391,37.488243,127.027016,2017-12-22 14:41,15
서초구,2293,2293. SPC 앞,서울특별시 서초구 남부순환로 2620,37.484798,127.036995,2017-12-22 14:42,10
서초구,2294,2294. 두상빌딩 앞,서울특별시 서초구 언남길 87,37.475906,127.046242,2017-12-22 14:43,15
서초구,2297,2297. 남부터미널역 1번출구,서울특별시 서초구 서초중앙로 38,37.485672,127.015923,2018-02-26 11:43,10
서초구,2298,2298. 래미안서초스위트앞,서울특별시 서초구 서운로 221,37.502411,127.021606,2018-02-26 11:44,12
서초구,2299,한전아트센터 앞,서울특별시 서초구 효령로72길 60,37.486469,127.028061,2018.10.17개통,12
서초구,2501,서초 포레스타5단지,신원동 347-6,37.450661,127.05706,2018.09.03,10
서초구,2502,서초역1번출구 앞,서초동 1553-21,37.491951,127.008553,2018.10.02,9
서초구,2503,반포1동 서초빌딩 앞,반포동 749-35,37.503811,127.021362,2018.10.02,10
서초구,2504,신사역 4번출구 뒤,잠원동 88,37.515881,127.019302,2018.10.30,10
서초구,2505,우성아파트사거리B(기업은행앞),서초동 1374,37.493259,127.029533,2018.09.18,12
서초구,2506,LG유플러스(방배사옥),방배동 980-53,37.479092,126.990677,2018.09.18,10
서초구,2508,양재이스타빌 앞,양재동 4(양재동 3-14 앞),37.482979,127.042259,2018.09.18,10
서초구,2509,KT반포지사,서초구 반포동 128-13,37.498371,126.992462,2018.09.18,16
서초구,2510,JW타워,서초구 서초동 1748-45,37.48304,127.021461,2019.03.26,8
서초구,2511,이수역 6번출구 앞,서초구 방배동 438-35,37.483662,126.982323,2019.03.14,20
은평구,972,수색역,수색로 261,37.58218,126.894943,2019.06.14,20
마포구,440,하늘공원 입구,마포구 하늘공원로 108-2,37.570006,126.881149,2019.08.02,15
서초구,2265,2265. 이수고가차도 남단,서울특별시 서초구 동작대로 204 청남빌딩,37.49474335,126.9830627,2017-08-09 11:16,10
